,ndims,niter,popsize,alpha_max,beta_max,angle_adjuster,coef,y
172,5.0,100.0,50.0,30.0,60.0,exponential,0.99,12.584368919180505
173,5.0,10.0,50.0,30.0,60.0,exponential,0.99,41.782106713274565
174,5.0,50.0,50.0,30.0,60.0,exponential,0.99,28.906614383032995
175,5.0,100.0,50.0,30.0,60.0,exponential,0.99,24.641822761067814
176,5.0,10.0,50.0,30.0,60.0,exponential,0.99,32.64660512731332
177,5.0,50.0,50.0,30.0,60.0,exponential,0.99,29.84502207441495
178,5.0,100.0,50.0,30.0,60.0,exponential,0.99,16.354791672385346
179,5.0,10.0,50.0,30.0,60.0,exponential,0.99,41.25538767106624
180,5.0,50.0,50.0,30.0,60.0,exponential,0.99,21.2330812264697
181,5.0,100.0,100.0,30.0,60.0,exponential,0.99,13.323414315276906
182,5.0,10.0,100.0,30.0,60.0,exponential,0.99,13.323414315276906
183,5.0,50.0,100.0,30.0,60.0,exponential,0.99,13.323414315276906
184,5.0,100.0,100.0,30.0,60.0,exponential,0.99,12.144644551778626
185,5.0,10.0,100.0,30.0,60.0,exponential,0.99,17.200057895078253
186,5.0,50.0,100.0,30.0,60.0,exponential,0.99,15.793311165978821
187,5.0,100.0,100.0,30.0,60.0,exponential,0.99,16.351756278972466
188,5.0,10.0,100.0,30.0,60.0,exponential,0.99,16.351756278972466
189,5.0,50.0,100.0,30.0,60.0,exponential,0.99,16.351756278972466
190,5.0,100.0,20.0,30.0,60.0,,0.99,18.548344946583274
191,5.0,10.0,20.0,30.0,60.0,,0.99,37.979984130048706
192,5.0,50.0,20.0,30.0,60.0,,0.99,21.360148310980808
193,5.0,100.0,20.0,30.0,60.0,,0.99,20.896170577585995
194,5.0,10.0,20.0,30.0,60.0,,0.99,27.228971252347762
195,5.0,50.0,20.0,30.0,60.0,,0.99,27.228971252347762
196,5.0,100.0,20.0,30.0,60.0,,0.99,14.314367087430178
197,5.0,10.0,20.0,30.0,60.0,,0.99,40.707029150316366
198,5.0,50.0,20.0,30.0,60.0,,0.99,40.46205217898546
199,5.0,100.0,50.0,30.0,60.0,,0.99,15.042397510407156
